	0	1	2	3	4	5	6	7	8	9	10	11	group	GENCODE	AnnoMore2	AnnoMore1	AnnoMore1_DeepPASS	pas_region	mapped_genes	PAS_name	gene_name	pas_subclassified	PAS_index_from5p	visual_name
10	1	798702	799144	LINC01409|54603	0	+	798702	799144	0	1	442,	0,	54603	False	True	True	False	intron	LINC01409	LINC01409-4	LINC01409	intron	4	LINC01409:4_int
11	1	800879	805816	ENSG00000230092|26451	0	-	800879	805816	0	2	284,18,	0,4919,	26451	False	True	True	False	exon	ENSG00000230092	ENSG00000230092-1	ENSG00000230092	exon	1	ENSG00000230092:1_nce
12	1	809845	810065	LINC01409|54599	0	+	809845	810065	0	1	220,	0,	54599	True	True	True	True	exon	LINC01409	LINC01409-6	LINC01409	exon	6	LINC01409:6_nce
13	1	819417	819827	FAM87B|38194	0	+	819417	819827	0	1	410,	0,	38194	True	True	True	True	exon	FAM87B	FAM87B-1	FAM87B	exon	1	FAM87B:1_nce
14	1	824799	825202	LINC00115|53477	0	-	824799	825202	0	1	403,	0,	53477	False	False	True	True	3primeExtended	LINC00115	LINC00115-1	LINC00115	3primeExtended	2	LINC00115:2_3ds
15	1	826206	826634	LINC00115|53476	0	-	826206	826634	0	1	428,	0,	53476	True	True	True	True	exon	LINC00115	LINC00115-2	LINC00115	exon	1	LINC00115:1_nce
16	1	840008	840428	LINC01128|54283	0	+	840008	840428	0	1	420,	0,	54283	False	False	True	True	intron	LINC01128	LINC01128-1	LINC01128	intron	1	LINC01128:1_int
17	1	843222	843622	LINC01128|54280	0	+	843222	843622	0	1	400,	0,	54280	False	True	True	False	exon	LINC01128	LINC01128-2	LINC01128	exon	2	LINC01128:2_nce
18	1	844168	844594	LINC01128|54279	0	+	844168	844594	0	1	426,	0,	54279	False	True	True	True	exon	LINC01128	LINC01128-3	LINC01128	exon	3	LINC01128:3_nce
19	1	854089	854385	LINC01128|54282	0	+	854089	854385	0	1	296,	0,	54282	True	True	True	True	exon	LINC01128	LINC01128-4	LINC01128	exon	4	LINC01128:4_nce
20	1	855565	856012	LINC01128|54281	0	+	855565	856012	0	1	447,	0,	54281	False	True	True	True	exon	LINC01128	LINC01128-5	LINC01128	exon	5	LINC01128:5_nce
21	1	856838	857293	LINC01128|54285	0	+	856838	857293	0	1	455,	0,	54285	True	True	True	True	exon	LINC01128	LINC01128-6	LINC01128	exon	6	LINC01128:6_nce
22	1	857978	858378	LINC01128|54286	0	+	857978	858378	0	1	400,	0,	54286	False	True	True	False	exon	LINC01128	LINC01128-7	LINC01128	exon	7	LINC01128:7_nce
23	1	859023	859446	LINC01128|54284	0	+	859023	859446	0	1	423,	0,	54284	True	True	True	True	exon	LINC01128	LINC01128-8	LINC01128	exon	8	LINC01128:8_nce
24	1	863398	863820	ENSG00000288531|35535	0	+	863398	863820	0	1	422,	0,	35535	False	True	True	True	intron	ENSG00000288531	ENSG00000288531-1	ENSG00000288531	intron	1	ENSG00000288531:1_int
25	1	865432	865832	ENSG00000288531|35534	0	+	865432	865832	0	1	400,	0,	35534	False	True	True	True	exon	ENSG00000288531	ENSG00000288531-2	ENSG00000288531	exon	2	ENSG00000288531:2_nce
26	1	916865	917247	LINC02593|55458	0	-	916865	917247	0	1	382,	0,	55458	True	True	True	True	exon	LINC02593	LINC02593-1	LINC02593	exon	3	LINC02593:3_nce
27	1	917427	917909	LINC02593|55459	0	-	917427	917909	0	1	482,	0,	55459	False	True	True	False	exon	LINC02593	LINC02593-2	LINC02593	exon	2	LINC02593:2_nce
28	1	919906	920306	LINC02593|55460	0	-	919906	920306	0	1	400,	0,	55460	False	True	True	False	exon	LINC02593	LINC02593-3	LINC02593	exon	1	LINC02593:1_nce
29	1	931688	932120	SAMD11|83114	0	+	931688	932120	0	1	432,	0,	83114	False	True	True	True	intron	SAMD11	SAMD11-1	SAMD11	intron	1	SAMD11:1_int
30	1	943856	944575	SAMD11|83113	0	+	943856	944575	0	1	719,	0,	83113	True	True	True	True	3UTR	SAMD11	SAMD11-2	SAMD11	Distal_3UTR	2	SAMD11:2_3ut
31	1	944204	944634	NOC2L|66111	0	-	944204	944634	0	1	430,	0,	66111	True	True	True	True	3UTR	NOC2L	NOC2L-1	NOC2L	Distal_3UTR	2	NOC2L:2_3ut
32	1	958246	958665	NOC2L|66112	0	-	958246	958665	0	1	419,	0,	66112	False	True	True	False	exon	NOC2L	NOC2L-2	NOC2L	exon	1	NOC2L:1_nce
33	1	965306	965719	KLHL17|51898	0	+	965306	965719	0	1	413,	0,	51898	True	True	True	True	3UTR	KLHL17	KLHL17-1	KLHL17	Distal_3UTR	1	KLHL17:1_3ut
34	1	974762	975271	PLEKHN1|73326	0	+	974762	975271	0	1	509,	0,	73326	False	True	True	False	3UTR	PLEKHN1	PLEKHN1-1	PLEKHN1	Distal_3UTR	1	PLEKHN1:1_3ut
35	1	975204	975602	PERM1|71299	0	-	975204	975602	0	1	398,	0,	71299	True	True	True	True	3UTR	PERM1	PERM1-1	PERM1	Distal_3UTR	2	PERM1:2_3ut
36	1	975449	975843	PLEKHN1|73327	0	+	975449	975843	0	1	394,	0,	73327	True	True	True	True	3UTR	PLEKHN1	PLEKHN1-2	PLEKHN1	Distal_3UTR	2	PLEKHN1:2_3ut
37	1	975779	976179	PERM1|71300	0	-	975779	976179	0	1	400,	0,	71300	False	True	True	True	3UTR	PERM1	PERM1-2	PERM1	Proximal_3UTR	1	PERM1:1_3ut
38	1	995966	996423	ENSG00000272512|31602	0	-	995966	996423	0	1	457,	0,	31602	False	True	True	True	exon	ENSG00000272512	ENSG00000272512-1	ENSG00000272512	exon	1	ENSG00000272512:1_nce
39	1	998970	999383	HES4|45805	0	-	998970	999383	0	1	413,	0,	45805	True	True	True	True	3UTR	HES4	HES4-1	HES4	Distal_3UTR	1	HES4:1_3ut
40	1	1006757	1007184	ISG15|48965	0	+	1006757	1007184	0	1	427,	0,	48965	False	True	True	True	intron	ISG15	ISG15-1	ISG15	intron	1	ISG15:1_int
41	1	1014101	1014540	ISG15|48964	0	+	1014101	1014540	0	1	439,	0,	48964	True	True	True	True	3UTR	ISG15	ISG15-2	ISG15	Distal_3UTR	2	ISG15:2_3ut
42	1	1039176	1039576	AGRN|2400	0	+	1039176	1039576	0	1	400,	0,	2400	False	False	True	True	intron	AGRN	AGRN-1	AGRN	intron	1	AGRN:1_int
43	1	1055135	1056118	AGRN|2399	0	+	1055135	1056118	0	2	80,381,	0,602,	2399	True	True	True	True	3UTR	AGRN;ENSG00000242590	AGRN-2	AGRN	Distal_3UTR	2	AGRN:2_3ut
44	1	1065954	1066459	ENSG00000217801|25624	0	+	1065954	1066459	0	1	505,	0,	25624	True	True	True	True	exon	ENSG00000217801	ENSG00000217801-1	ENSG00000217801	exon	1	ENSG00000217801:1_nce
45	1	1069745	1070198	ENSG00000217801|25625	0	+	1069745	1070198	0	1	453,	0,	25625	False	True	True	True	3primeExtended	ENSG00000217801	ENSG00000217801-2	ENSG00000217801	3primeExtended	2	ENSG00000217801:2_3ds
46	1	1081846	1082219	C1orf159|9856	0	-	1081846	1082219	0	1	373,	0,	9856	True	True	True	True	3UTR	C1orf159	C1orf159-1	C1orf159	Distal_3UTR	5	C1orf159:5_3ut
47	1	1082232	1082679	C1orf159|9855	0	-	1082232	1082679	0	1	447,	0,	9855	False	True	True	False	3UTR	C1orf159	C1orf159-2	C1orf159	Distal_3UTR	4	C1orf159:4_3ut
48	1	1094749	1095210	C1orf159|9857	0	-	1094749	1095210	0	1	461,	0,	9857	False	True	True	False	intron	C1orf159	C1orf159-3	C1orf159	intron	3	C1orf159:3_int
49	1	1109604	1110036	C1orf159|9858	0	-	1109604	1110036	0	1	432,	0,	9858	False	False	True	True	intron	C1orf159	C1orf159-4	C1orf159	intron	2	C1orf159:2_int
50	1	1114343	1114743	C1orf159|9859	0	-	1114343	1114743	0	1	400,	0,	9859	False	False	True	True	intron	C1orf159	C1orf159-5	C1orf159	intron	1	C1orf159:1_int
51	1	1169897	1170328	ENSG00000272141|31431	0	+	1169897	1170328	0	1	431,	0,	31431	True	True	True	True	exon	ENSG00000272141	ENSG00000272141-1	ENSG00000272141	exon	1	ENSG00000272141:1_nce
52	1	1203508	1203938	TNFRSF18|97328	0	-	1203508	1203938	0	1	430,	0,	97328	True	True	True	True	3UTR	TNFRSF18	TNFRSF18-1	TNFRSF18	Distal_3UTR	1	TNFRSF18:1_3ut
53	1	1211340	1211828	TNFRSF4|97347	0	-	1211340	1211828	0	1	488,	0,	97347	True	True	True	True	3UTR	TNFRSF4	TNFRSF4-1	TNFRSF4	Distal_3UTR	1	TNFRSF4:1_3ut
54	1	1216909	1217319	SDF4|84053	0	-	1216909	1217319	0	1	410,	0,	84053	True	True	True	True	3UTR	SDF4	SDF4-1	SDF4	Distal_3UTR	3	SDF4:3_3ut
55	1	1218504	1223314	SDF4|84055	0	-	1218504	1223314	0	3	129,314,71,	0,264,4739,	84055	False	True	True	False	CDS	SDF4	SDF4-2	SDF4	CDS	2	SDF4:2_cds
56	1	1229164	1229789	SDF4|84054	0	-	1229164	1229789	0	1	625,	0,	84054	False	False	True	True	intron	SDF4	SDF4-3	SDF4	intron	1	SDF4:1_int
57	1	1233251	1234209	B3GALT6|7546	0	+	1233251	1234209	0	1	958,	0,	7546	False	True	True	True	3UTR	B3GALT6	B3GALT6-1	B3GALT6	Distal_3UTR	1	B3GALT6:1_3ut
58	1	1234562	1235041	B3GALT6|7547	0	+	1234562	1235041	0	1	479,	0,	7547	True	True	True	True	3UTR	B3GALT6	B3GALT6-2	B3GALT6	Distal_3UTR	2	B3GALT6:2_3ut
59	1	1242446	1243167	C1QTNF12|9789	0	-	1242446	1243167	0	3	200,192,106,	0,388,615,	9789	True	True	True	True	3UTR	C1QTNF12	C1QTNF12-1	C1QTNF12	Distal_3UTR	1	C1QTNF12:1_3ut
60	1	1249777	1250076	ENSG00000260179|29655	0	-	1249777	1250076	0	1	299,	0,	29655	True	True	True	True	exon	ENSG00000260179	ENSG00000260179-1	ENSG00000260179	exon	1	ENSG00000260179:1_nce
61	1	1253909	1254358	UBE2J2|100468	0	-	1253909	1254358	0	1	449,	0,	100468	True	True	True	True	3UTR	UBE2J2	UBE2J2-1	UBE2J2	Distal_3UTR	5	UBE2J2:5_3ut
62	1	1254870	1255341	UBE2J2|100469	0	-	1254870	1255341	0	1	471,	0,	100469	True	True	True	True	3UTR	UBE2J2	UBE2J2-2	UBE2J2	Proximal_3UTR	4	UBE2J2:4_3ut
63	1	1255446	1262304	UBE2J2|100472	0	-	1255446	1262304	0	5	41,81,139,103,36,	0,598,1545,1761,6822,	100472	False	False	True	True	3UTR	UBE2J2	UBE2J2-4	UBE2J2	Upstream_3UTR	3	UBE2J2:3_3ut
64	1	1261635	1262092	UBE2J2|100470	0	-	1261635	1262092	0	1	457,	0,	100470	False	True	True	False	intron	UBE2J2	UBE2J2-3	UBE2J2	intron	2	UBE2J2:2_int
65	1	1269458	1269862	UBE2J2|100471	0	-	1269458	1269862	0	1	404,	0,	100471	False	False	True	True	intron	UBE2J2	UBE2J2-5	UBE2J2	intron	1	UBE2J2:1_int
66	1	1279772	1280200	LINC01786|54954	0	+	1279772	1280200	0	1	428,	0,	54954	False	True	True	False	intron	LINC01786	LINC01786-1	LINC01786	intron	1	LINC01786:1_int
67	1	1291660	1292029	SCNN1D|83895	0	+	1291660	1292029	0	1	369,	0,	83895	True	True	True	True	3UTR	SCNN1D	SCNN1D-1	SCNN1D	Distal_3UTR	1	SCNN1D:1_3ut
68	1	1292390	1292788	ACAP3|672	0	-	1292390	1292788	0	1	398,	0,	672	True	True	True	True	3UTR	ACAP3	ACAP3-1	ACAP3	Distal_3UTR	2	ACAP3:2_3ut
69	1	1292771	1293288	ACAP3|673	0	-	1292771	1293288	0	1	517,	0,	673	True	True	True	True	3UTR	ACAP3	ACAP3-2	ACAP3	Distal_3UTR	1	ACAP3:1_3ut
70	1	1310965	1311677	PUSL1|77473	0	+	1310965	1311677	0	2	106,348,	0,364,	77473	True	True	True	True	3UTR	PUSL1	PUSL1-1	PUSL1	Distal_3UTR	1	PUSL1:1_3ut
71	1	1311585	1312123	INTS11|48449	0	-	1311585	1312123	0	2	339,106,	0,432,	48449	True	True	True	True	3UTR	INTS11	INTS11-1	INTS11	Distal_3UTR	3	INTS11:3_3ut
72	1	1316596	1316996	INTS11|48451	0	-	1316596	1316996	0	1	400,	0,	48451	False	True	True	True	exon	INTS11	INTS11-2	INTS11	exon	2	INTS11:2_nce
73	1	1318681	1319153	INTS11|48450	0	-	1318681	1319153	0	1	472,	0,	48450	False	True	True	True	3UTR	INTS11	INTS11-3	INTS11	Upstream_3UTR	1	INTS11:1_3ut
74	1	1328483	1328896	CPTP|17935	0	+	1328483	1328896	0	1	413,	0,	17935	True	True	True	True	3UTR	CPTP	CPTP-1	CPTP	Distal_3UTR	1	CPTP:1_3ut
75	1	1334934	1335314	TAS1R3|93713	0	+	1334934	1335314	0	1	380,	0,	93713	False	True	True	True	3UTR	TAS1R3	TAS1R3-1	TAS1R3	Distal_3UTR	1	TAS1R3:1_3ut
76	1	1335286	1335664	DVL1|23331	0	-	1335286	1335664	0	1	378,	0,	23331	True	True	True	True	3UTR	DVL1	DVL1-1	DVL1	Distal_3UTR	1	DVL1:1_3ut
77	1	1335341	1335752	TAS1R3|93714	0	+	1335341	1335752	0	1	411,	0,	93714	False	True	True	True	3primeExtended	TAS1R3	TAS1R3-2	TAS1R3	3primeExtended	2	TAS1R3:2_3ds
78	1	1352689	1353074	MXRA8|62985	0	-	1352689	1353074	0	1	385,	0,	62985	True	True	True	True	3UTR	MXRA8	MXRA8-1	MXRA8	Distal_3UTR	1	MXRA8:1_3ut
79	1	1373734	1374261	AURKAIP1|7415	0	-	1373734	1374261	0	2	168,262,	0,265,	7415	True	True	True	True	3UTR	AURKAIP1	AURKAIP1-1	AURKAIP1	Distal_3UTR	1	AURKAIP1:1_3ut
80	1	1386475	1387110	CCNL2|12759	0	-	1386475	1387110	0	1	635,	0,	12759	True	True	True	True	3UTR	CCNL2	CCNL2-1	CCNL2	Proximal_3UTR	3	CCNL2:3_3ut
81	1	1390347	1395457	CCNL2|12760	0	-	1390347	1395457	0	7	24,105,289,189,331,65,64,	0,111,418,949,2125,3048,5046,	12760	False	True	True	True	3UTR	CCNL2	CCNL2-2	CCNL2	Upstream_3UTR	2	CCNL2:2_3ut
82	1	1395434	1399188	CCNL2|12761	0	-	1395434	1399188	0	4	80,110,75,170,	0,2798,3162,3584,	12761	False	True	True	True	3UTR	CCNL2	CCNL2-3	CCNL2	Upstream_3UTR	1	CCNL2:1_3ut
83	1	1401604	1402046	MRPL20-AS1|61890	0	+	1401604	1402046	0	1	442,	0,	61890	True	True	True	True	exon	MRPL20-AS1	MRPL20-AS1-1	MRPL20-AS1	exon	1	MRPL20-AS1:1_nce
84	1	1401909	1405863	MRPL20|61893	0	-	1401909	1405863	0	2	347,55,	0,3899,	61893	True	True	True	True	3UTR	MRPL20	MRPL20-2	MRPL20	Distal_3UTR	3	MRPL20:3_3ut
85	1	1402302	1402747	MRPL20-AS1|61891	0	+	1402302	1402747	0	1	445,	0,	61891	False	True	True	False	3primeExtended	MRPL20-AS1	MRPL20-AS1-2	MRPL20-AS1	3primeExtended	2	MRPL20-AS1:2_3ds
86	1	1405414	1405843	MRPL20|61894	0	-	1405414	1405843	0	1	429,	0,	61894	False	True	True	False	3UTR	MRPL20	MRPL20-1	MRPL20	Upstream_3UTR	2	MRPL20:2_3ut
87	1	1406927	1407290	MRPL20|61895	0	-	1406927	1407290	0	2	92,160,	0,203,	61895	False	True	True	False	CDS	MRPL20	MRPL20-3	MRPL20	CDS	1	MRPL20:1_cds
88	1	1410258	1410618	MRPL20-DT|61892	0	+	1410258	1410618	0	1	360,	0,	61892	True	True	True	True	exon	MRPL20-DT	MRPL20-DT-1	MRPL20-DT	exon	1	MRPL20-DT:1_nce
89	1	1418420	1418884	ANKRD65|3927	0	-	1418420	1418884	0	1	464,	0,	3927	True	True	True	True	3UTR	ANKRD65	ANKRD65-1	ANKRD65	Distal_3UTR	1	ANKRD65:1_3ut
90	1	1422868	1423268	ENSG00000225905|25923	0	+	1422868	1423268	0	1	400,	0,	25923	False	True	True	True	3primeExtended	ENSG00000225905	ENSG00000225905-1	ENSG00000225905	3primeExtended	1	ENSG00000225905:1_3ds
91	1	1428444	1428909	TMEM88B|97053	0	+	1428444	1428909	0	1	465,	0,	97053	False	True	True	False	3UTR	TMEM88B	TMEM88B-1	TMEM88B	Proximal_3UTR	1	TMEM88B:1_3ut
92	1	1429863	1430255	TMEM88B|97052	0	+	1429863	1430255	0	1	392,	0,	97052	False	True	True	True	3UTR	TMEM88B	TMEM88B-2	TMEM88B	Distal_3UTR	2	TMEM88B:2_3ut
93	1	1440350	1440815	VWA1|102699	0	+	1440350	1440815	0	1	465,	0,	102699	True	True	True	True	3UTR	VWA1	VWA1-1	VWA1	Proximal_3UTR	1	VWA1:1_3ut
94	1	1442493	1442862	VWA1|102700	0	+	1442493	1442862	0	1	369,	0,	102700	True	True	True	True	3UTR	VWA1	VWA1-2	VWA1	Distal_3UTR	2	VWA1:2_3ut
95	1	1462577	1468652	ATAD3C|6401	0	+	1462577	1468652	0	2	131,269,	0,5806,	6401	False	False	True	True	3UTR	ATAD3C	ATAD3C-1	ATAD3C	Proximal_3UTR	1	ATAD3C:1_3ut
96	1	1469758	1470163	ATAD3C|6402	0	+	1469758	1470163	0	1	405,	0,	6402	False	True	True	True	3UTR	ATAD3C	ATAD3C-2	ATAD3C	Distal_3UTR	2	ATAD3C:2_3ut
97	1	1495760	1496266	ATAD3B|6400	0	+	1495760	1496266	0	1	506,	0,	6400	True	True	True	True	3UTR	ATAD3B	ATAD3B-1	ATAD3B	Proximal_3UTR	1	ATAD3B:1_3ut
98	1	1503534	1509452	ENSG00000284740|33848	0	+	1503534	1509452	0	2	127,248,	0,5670,	33848	False	False	True	True	exon	ENSG00000284740	ENSG00000284740-1	ENSG00000284740	exon	1	ENSG00000284740:1_nce
99	1	1534266	1534685	ATAD3A|6399	0	+	1534266	1534685	0	1	419,	0,	6399	True	True	True	True	3UTR	ATAD3A	ATAD3A-1	ATAD3A	Distal_3UTR	1	ATAD3A:1_3ut
100	1	1534778	1535202	TMEM240|96696	0	-	1534778	1535202	0	1	424,	0,	96696	False	True	True	True	3UTR	TMEM240	TMEM240-1	TMEM240	Distal_3UTR	2	TMEM240:2_3ut
101	1	1539056	1539436	TMEM240|96697	0	-	1539056	1539436	0	1	380,	0,	96697	True	True	True	True	3UTR	TMEM240	TMEM240-2	TMEM240	Upstream_3UTR	1	TMEM240:1_3ut
102	1	1541673	1542084	SSU72|91178	0	-	1541673	1542084	0	1	411,	0,	91178	False	True	True	True	3UTR	SSU72	SSU72-1	SSU72	Distal_3UTR	6	SSU72:6_3ut
103	1	1556560	1556979	SSU72|91181	0	-	1556560	1556979	0	1	419,	0,	91181	False	False	True	True	intron	SSU72	SSU72-2	SSU72	intron	5	SSU72:5_int
104	1	1562282	1562794	SSU72|91179	0	-	1562282	1562794	0	1	512,	0,	91179	True	True	True	True	3UTR	SSU72	SSU72-3	SSU72	Upstream_3UTR	4	SSU72:4_3ut
105	1	1563987	1564451	SSU72|91180	0	-	1563987	1564451	0	1	464,	0,	91180	False	True	True	True	3UTR	SSU72	SSU72-4	SSU72	Upstream_3UTR	3	SSU72:3_3ut
106	1	1564408	1564808	SSU72|91183	0	-	1564408	1564808	0	1	400,	0,	91183	False	True	True	False	3UTR	SSU72	SSU72-5	SSU72	Upstream_3UTR	2	SSU72:2_3ut
107	1	1564790	1574785	SSU72|91182	0	-	1564790	1574785	0	2	126,308,	0,9687,	91182	False	True	True	True	CDS	SSU72	SSU72-6	SSU72	CDS	1	SSU72:1_cds
108	1	1574300	1575664	ENSG00000215014|25574	0	+	1574300	1575664	0	2	49,467,	0,897,	25574	False	True	True	True	exon	ENSG00000215014	ENSG00000215014-1	ENSG00000215014	exon	1	ENSG00000215014:1_nce
109	1	1576647	1577075	ENSG00000215014|25575	0	+	1576647	1577075	0	1	428,	0,	25575	False	True	True	True	exon	ENSG00000215014	ENSG00000215014-2	ENSG00000215014	exon	2	ENSG00000215014:2_nce
110	1	1598012	1598411	FNDC10|39859	0	-	1598012	1598411	0	1	399,	0,	39859	True	True	True	True	3UTR	FNDC10	FNDC10-1	FNDC10	Distal_3UTR	1	FNDC10:1_3ut
111	1	1613758	1614149	ENSG00000272106|31411	0	-	1613758	1614149	0	1	391,	0,	31411	True	True	True	True	exon	ENSG00000272106	ENSG00000272106-1	ENSG00000272106	exon	2	ENSG00000272106:2_nce
112	1	1615055	1615477	ENSG00000272106|31412	0	-	1615055	1615477	0	1	422,	0,	31412	False	False	True	True	exon	ENSG00000272106	ENSG00000272106-2	ENSG00000272106	exon	1	ENSG00000272106:1_nce
113	1	1616521	1617350	MIB2|60460	0	+	1616521	1617350	0	2	93,470,	0,359,	60460	False	True	True	True	exon	MIB2	MIB2-1	MIB2	exon	1	MIB2:1_nce
114	1	1617493	1617905	MIB2|60461	0	+	1617493	1617905	0	1	412,	0,	60461	False	True	True	True	exon	MIB2	MIB2-2	MIB2	exon	2	MIB2:2_nce
115	1	1629547	1630605	MIB2|60459	0	+	1629547	1630605	0	3	19,66,314,	0,91,744,	60459	True	True	True	True	3UTR	MIB2	MIB2-3	MIB2	Distal_3UTR	3	MIB2:3_3ut
116	1	1634599	1635263	MMP23B|61236	0	+	1634599	1635263	0	2	187,105,	0,559,	61236	True	True	True	True	3UTR	MMP23B	MMP23B-1	MMP23B	Distal_3UTR	1	MMP23B:1_3ut
117	1	1646302	1646722	CDK11B|13731	0	-	1646302	1646722	0	1	420,	0,	13731	False	False	True	True	intron	CDK11B	CDK11B-1	CDK11B	intron	2	CDK11B:2_int
118	1	1655489	1655889	CDK11B|13732	0	-	1655489	1655889	0	1	400,	0,	13732	False	False	True	True	intron	CDK11B	CDK11B-2	CDK11B	intron	1	CDK11B:1_int
119	1	1659328	1662578	ENSG00000272004|31380	0	+	1659328	1662578	0	2	124,248,	0,3002,	31380	True	True	True	True	exon	ENSG00000272004	ENSG00000272004-1	ENSG00000272004	exon	1	ENSG00000272004:1_nce
120	1	1661478	1661700	SLC35E2B|87261	0	-	1661478	1661700	0	1	222,	0,	87261	True	True	True	True	3UTR	SLC35E2B	SLC35E2B-1	SLC35E2B	Upstream_3UTR	2	SLC35E2B:2_3ut
121	1	1662589	1663131	SLC35E2B|87262	0	-	1662589	1663131	0	1	542,	0,	87262	False	True	True	True	3UTR	SLC35E2B	SLC35E2B-2	SLC35E2B	Upstream_3UTR	1	SLC35E2B:1_3ut
122	1	1672640	1673040	ENSG00000269737|30954	0	+	1672640	1673040	0	1	400,	0,	30954	False	True	True	True	exon	ENSG00000269737	ENSG00000269737-1	ENSG00000269737	exon	1	ENSG00000269737:1_nce
123	1	1716404	1724284	ENSG00000268575|13730	0	-	1716404	1724284	0	5	74,128,116,244,27,	0,2923,5191,6183,7853,	13730	False	True	True	True	CDS	CDK11A;ENSG00000268575	ENSG00000268575-1	ENSG00000268575	CDS	1	ENSG00000268575:1_cds
124	1	1724854	1725254	SLC35E2A|87259	0	-	1724854	1725254	0	1	400,	0,	87259	True	False	True	True	exon	SLC35E2A	SLC35E2A-1	SLC35E2A	exon	2	SLC35E2A:2_nce
125	1	1728635	1729064	SLC35E2A|87260	0	-	1728635	1729064	0	1	429,	0,	87260	False	True	True	True	intron	ENSG00000268575;SLC35E2A	SLC35E2A-2	SLC35E2A	intron	1	SLC35E2A:1_int
126	1	1752456	1752968	NADK|63627	0	-	1752456	1752968	0	1	512,	0,	63627	False	True	True	True	3UTR	NADK	NADK-1	NADK	Proximal_3UTR	2	NADK:2_3ut
127	1	1777815	1778287	NADK|63628	0	-	1777815	1778287	0	1	472,	0,	63628	False	True	True	True	intron	NADK	NADK-2	NADK	intron	1	NADK:1_int
128	1	1785285	1785647	GNB1|42864	0	-	1785285	1785647	0	1	362,	0,	42864	True	True	True	True	3UTR	GNB1	GNB1-1	GNB1	Distal_3UTR	14	GNB1:14_3ut
129	1	1785779	1786271	GNB1|42866	0	-	1785779	1786271	0	1	492,	0,	42866	True	True	True	True	3UTR	GNB1	GNB1-2	GNB1	Distal_3UTR	13	GNB1:13_3ut
130	1	1786750	1789121	GNB1|42868	0	-	1786750	1789121	0	3	303,116,69,	0,571,2302,	42868	True	True	True	True	3UTR	GNB1	GNB1-3	GNB1	Proximal_3UTR	12	GNB1:12_3ut
131	1	1791178	1791593	GNB1|42865	0	-	1791178	1791593	0	1	415,	0,	42865	False	True	True	False	intron	GNB1	GNB1-4	GNB1	intron	11	GNB1:11_int
132	1	1799335	1799789	GNB1|42867	0	-	1799335	1799789	0	1	454,	0,	42867	False	True	True	True	intron	GNB1	GNB1-5	GNB1	intron	10	GNB1:10_int
133	1	1823375	1823787	GNB1|42871	0	-	1823375	1823787	0	1	412,	0,	42871	False	False	True	True	intron	GNB1	GNB1-6	GNB1	intron	9	GNB1:9_int
134	1	1823851	1824251	GNB1|42872	0	-	1823851	1824251	0	1	400,	0,	42872	False	False	True	True	intron	GNB1	GNB1-7	GNB1	intron	8	GNB1:8_int
135	1	1824988	1825419	GNB1|42869	0	-	1824988	1825419	0	1	431,	0,	42869	True	True	True	True	exon	GNB1	GNB1-8	GNB1	exon	7	GNB1:7_nce
136	1	1836842	1837268	GNB1|42870	0	-	1836842	1837268	0	1	426,	0,	42870	False	False	True	True	intron	GNB1	GNB1-9	GNB1	intron	6	GNB1:6_int
